,orig_index,f_form,def_form,voltage,vol_p_f,per_exp,grav_cap,grav_e_den,vol_e_den,f_transfer,f_cost_p_kg,def_cost_p_kg,f_cost_p_mol,def_cost_p_mol,cost_p_mol_f,log10_cost_p_mol_f,f_id,def_id,f_spacegroup,def_spacegroup,f_e_hull,def_e_hull,f_bandgap,def_bandgap,f_barrier,def_barrier,direct,products,type
355,341,AlVF5,AlV,1.10,17.60,207.68,774.99,849.13,2771.25,5.0,109.21,239.89,18.88,18.69,3.78,0.58,mp-1248567,mp-1228001,Spacegroup object (71),Spacegroup object (65),0.02,0.00,3.18,0.00,2.49,-,No,AlV3 + 2 AlF3,Complete
356,342,TiNF,TiN,2.28,47.77,148.30,331.41,754.14,2119.97,1.0,7.24,8.85,0.59,0.55,0.59,-0.23,mp-1071956,mp-492,Spacegroup object (59),Spacegroup object (225),0.02,0.00,0.65,0.00,4.75,-,No,TiN + 0.3333 TiF4 + 0.3333 N,Complete
357,344,MgCoF5,MgCo,1.88,17.39,185.23,751.88,1410.81,4801.05,5.0,12.23,23.90,2.18,1.99,0.44,-0.36,mp-1385961,mp-542488,Spacegroup object (15),Spacegroup object (227),0.02,0.03,1.91,0.00,-,-,No,Co + MgF2,Complete
358,346,ErSeF,ErSe,0.23,63.89,37.37,101.05,23.14,159.52,1.0,23.16,24.80,6.14,6.11,6.14,0.79,mp-27123,mp-2491,Spacegroup object (62),Spacegroup object (225),0.02,0.00,2.22,0.00,0.54,-,No,Er2Se3 + ErF3,Complete
359,349,TbCd2F8,TbCd2,1.93,20.49,119.27,400.22,772.45,4192.76,8.0,196.91,274.10,105.49,105.19,13.19,1.12,mp-29201,mp-30497,Spacegroup object (82),Spacegroup object (191),0.03,0.00,0.00,0.00,-,-,No,TbCd3 + 0.5 TbF3,Complete
360,351,Ba2ZnF6,Ba2Zn,0.51,24.02,9.06,354.16,179.09,936.80,6.0,1.03,0.70,0.47,0.24,0.08,-1.11,mp-7739,mp-1018178,Spacegroup object (139),Spacegroup object (139),0.03,0.00,4.73,0.00,0.51,-,No,BaZn2 + 3 BaF2,Complete
361,352,LiCu3F7,LiCu3,2.70,18.86,178.81,567.54,1531.79,6369.23,7.0,6.02,8.72,1.99,1.72,0.28,-0.55,mp-752898,mp-862658,Spacegroup object (15),Spacegroup object (139),0.03,0.00,0.00,0.00,-,-,No,Cu + 0.3333 LiF,Complete
362,353,HgPdF4,HgPd,3.67,21.89,140.68,279.91,1026.29,7454.80,4.0,13770.11,17178.10,5274.00,5273.85,1318.50,3.12,mp-1224125,mp-2685,Spacegroup object (14),Spacegroup object (123),0.03,0.00,0.00,0.00,0.75,-,No,HgPd3 + 2 HgF,Complete
363,354,AgSb(SeF3)2,AgSbSe2,2.94,33.30,106.17,320.63,943.62,3933.73,6.0,120.65,155.55,60.51,60.28,10.09,1.00,mp-1202255,mp-1229000,Spacegroup object (15),Spacegroup object (166),0.03,0.01,1.18,0.00,-,-,No,Ag2Se + AgSe5 + 3 SbF3,Complete
364,357,CaAgF5,CaAg,2.46,23.32,112.06,551.61,1357.37,4696.94,5.0,232.49,380.48,56.48,56.29,11.30,1.05,mp-1777514,mp-538,Spacegroup object (2),Spacegroup object (63),0.03,0.00,0.00,0.00,-,-,No,CaAg2 + CaF2,Complete
365,358,SnPbF4,SnPb,1.95,26.44,76.54,266.75,520.45,3283.73,4.0,6.93,8.08,2.79,2.63,0.70,-0.16,mp-20815,mp-972692,Spacegroup object (129),Spacegroup object (187),0.03,0.05,3.34,0.00,1.46,-,No,PbF2 + Sn,Complete
366,360,CdPdF4,CdPd,3.21,21.07,139.02,363.63,1168.56,6789.47,4.0,17869.10,24073.81,5268.25,5268.10,1317.06,3.12,mp-1226775,mp-1696,Spacegroup object (14),Spacegroup object (123),0.03,0.00,0.00,0.00,0.68,-,No,CdPd3 + 2 CdF2,Complete
367,361,YCo3F15,YCo3,3.04,19.80,414.10,730.04,2217.22,6826.50,15.0,16.58,32.20,9.13,8.56,0.61,-0.22,mp-1359624,mp-1192425,Spacegroup object (11),Spacegroup object (194),0.04,0.04,0.67,0.00,-,-,No,Co + 0.3333 YF3,Complete
368,362,VFeP2(O4F)2,VFe(PO4)2,3.43,88.14,18.21,160.14,549.66,1733.13,2.0,56.56,63.54,18.93,18.85,9.47,0.98,mp-777408,mp-770962,Spacegroup object (2),Spacegroup object (146),0.04,0.02,1.28,0.00,-,-,No,FePO4 + VPO4F,Complete
369,363,CaAl2F10,CaAl2,1.65,19.10,196.61,943.63,1552.66,3834.35,10.0,2.01,2.00,0.57,0.19,0.06,-1.24,mp-1227363,mp-2404,Spacegroup object (5),Spacegroup object (227),0.04,0.00,0.54,0.00,-,-,No,CaF2 + 2 Al,Complete
370,366,LuSeF,LuSe,0.15,61.48,37.30,98.20,14.32,105.55,1.0,418.55,449.71,114.23,114.19,114.23,2.06,mp-1210620,mp-414,Spacegroup object (194),Spacegroup object (225),0.04,0.00,1.91,0.00,0.11,-,No,Lu2Se3 + LuF3,Complete
371,367,CaSnF4,CaSn,1.16,23.17,50.94,456.62,530.20,2229.89,4.0,10.49,14.56,2.46,2.31,0.62,-0.21,mp-1048327,mp-2450,Spacegroup object (123),Spacegroup object (63),0.04,0.00,3.50,0.00,-,-,No,CaSn3 + 2 CaF2,Complete
372,368,MgSnF4,MgSn,1.20,21.90,82.00,489.51,585.98,2432.77,4.0,11.09,15.92,2.43,2.28,0.61,-0.22,mp-1411922,mp-1094801,Spacegroup object (5),Spacegroup object (123),0.04,0.02,3.89,0.00,-,-,No,Sn + MgF2,Complete
373,369,ZnFeF5,ZnFe,2.26,18.58,261.33,619.70,1402.47,5421.82,5.0,1.76,1.57,0.38,0.19,0.08,-1.12,mp-1387950,mp-1215473,Spacegroup object (15),Spacegroup object (123),0.04,0.02,2.35,0.00,-,-,No,FeF2 + 0.2 Zn9Fe4,Complete
374,370,LiMn2P2(O4F)2,LiMn2(PO4)2,3.90,90.51,18.69,155.48,607.06,1919.74,2.0,3.02,3.15,1.04,0.97,0.52,-0.28,mp-759719,mp-753779,Spacegroup object (1),Spacegroup object (4),0.04,0.01,0.22,0.00,-,-,No,MnPO4 + LiMnPO4F,Complete
375,373,Mg(AuF6)2,MgAu2,3.96,20.85,358.31,497.69,1969.16,8445.27,12.0,27310.74,42196.68,17648.72,17648.26,1470.73,3.17,mp-1210728,mp-1185844,Spacegroup object (115),Spacegroup object (63),0.05,0.00,1.35,0.00,-,-,No,MgAu3 + 0.5 MgF2,Complete
376,375,TiOF2,TiO,1.64,28.81,175.00,526.22,861.92,2530.12,2.0,6.13,8.58,0.62,0.55,0.31,-0.51,mp-1216625,mp-1071163,Spacegroup object (123),Spacegroup object (189),0.05,0.00,2.06,0.00,0.51,-,No,Ti2O3 + TiF3,Complete
377,376,AlAgF4,AlAg,1.48,19.19,127.38,508.46,750.09,3421.96,4.0,267.50,417.11,56.40,56.25,14.10,1.15,mp-1214923,mp-1228901,Spacegroup object (18),Spacegroup object (187),0.05,0.02,2.50,0.00,-,-,No,AlAg2 + AlF3,Complete
378,379,AlCoF5,AlCo,1.68,16.92,263.92,740.75,1241.59,4408.57,5.0,12.01,23.06,2.17,1.98,0.43,-0.36,mp-1251112,mp-284,Spacegroup object (71),Spacegroup object (221),0.05,0.00,3.21,0.00,1.58,-,No,Co + AlF3,Complete
379,380,LiVO2F,LiVO2,2.32,60.14,58.97,246.16,571.00,1716.72,1.0,176.96,213.94,19.27,19.23,19.27,1.28,mp-752626,mp-19340,Spacegroup object (62),Spacegroup object (166),0.05,0.00,2.22,0.00,0.80,-,No,Li3VO4 + 2 LiF + 2 V2O3,Complete
380,381,ZnAgF5,ZnAg,3.34,21.08,224.25,499.53,1670.74,7062.97,5.0,210.82,325.29,56.56,56.37,11.31,1.05,mp-1830250,mp-1912,Spacegroup object (2),Spacegroup object (221),0.05,0.00,0.00,0.00,-,-,No,ZnAg3 + 2 ZnF2,Complete
381,382,TbCdF6,TbCd,1.83,19.03,113.56,417.33,761.66,4268.59,6.0,272.78,386.53,105.11,104.88,17.52,1.24,mp-22690,mp-721,Spacegroup object (84),Spacegroup object (221),0.05,0.00,0.00,0.00,-,-,No,TbCd2 + TbF3,Complete
382,384,V2O3F2,V2O3,2.94,43.52,58.69,285.31,837.52,3001.92,2.0,198.92,248.84,37.37,37.30,18.69,1.27,mp-761129,mp-21579,Spacegroup object (2),Spacegroup object (206),0.05,0.00,1.28,0.00,-,-,No,V3O5 + VOF,Complete
383,385,NdTa2O6F,NdTa2O6,0.93,146.41,15.44,43.15,40.20,283.19,1.0,191.73,197.71,119.09,119.05,119.09,2.08,mp-1220087,mp-1205976,Spacegroup object (74),Spacegroup object (123),0.05,0.06,3.25,0.00,4.40,-,No,NdTa3O9 + 0.5 NdF3,Complete
384,386,AlCuF5,AlCu,1.85,16.59,195.67,722.34,1332.78,4948.44,5.0,3.34,4.75,0.62,0.43,0.12,-0.91,mp-1251392,mp-2500,Spacegroup object (71),Spacegroup object (12),0.05,0.00,0.00,0.00,0.31,-,No,Al4Cu9 + 5 AlF3,Complete
385,387,BiPbF5,BiPb,2.09,22.30,74.44,262.16,548.58,4175.41,5.0,3.78,4.19,1.93,1.74,0.39,-0.41,mp-35795,mp-1227326,Spacegroup object (1),Spacegroup object (187),0.05,0.05,4.30,0.00,-,-,No,PbF2 + Bi,Complete
386,390,AlNiF5,AlNi,1.72,16.32,238.86,741.74,1276.95,4693.88,5.0,5.84,10.09,1.06,0.86,0.21,-0.68,mp-1263325,mp-1487,Spacegroup object (71),Spacegroup object (221),0.05,0.00,1.94,0.00,2.53,-,No,Al3Ni5 + 2 AlF3,Complete
387,397,EuMgF4,EuMg,0.06,21.42,23.74,424.98,26.54,129.78,4.0,19.74,27.39,4.98,4.83,1.25,0.10,mp-9539,mp-21253,Spacegroup object (63),Spacegroup object (221),0.06,0.02,0.23,0.00,1.10,-,No,EuMg2 + EuF2,Complete
388,398,USb2F15,USb2,2.38,23.70,339.67,524.47,1248.39,4469.01,15.0,33.95,52.85,26.02,25.45,1.73,0.24,mp-1178972,mp-2707,Spacegroup object (14),Spacegroup object (129),0.06,0.00,0.32,0.00,-,-,No,USb3 + 0.5 UF4,Complete
389,404,LiV3(O2F)2,LiV3O4,1.54,54.67,34.99,204.78,315.19,1253.06,2.0,216.23,252.60,56.60,56.52,28.30,1.45,mp-759980,mp-754378,Spacegroup object (62),Spacegroup object (65),0.06,0.01,1.45,0.00,1.06,-,No,LiF + 1.333 V2O3 + 0.3333 V,Complete
390,406,LiBiF5,LiBi,2.36,21.87,126.94,431.01,1017.20,4802.12,5.0,6.75,8.84,2.10,1.91,0.42,-0.38,mp-752483,mp-22902,Spacegroup object (82),Spacegroup object (123),0.07,0.00,0.00,0.00,0.44,-,No,Bi + LiF,Complete
391,410,CaAl2F8,CaAl2,0.62,17.65,119.32,871.49,540.43,1563.48,8.0,2.01,2.00,0.49,0.19,0.06,-1.21,mp-1213962,mp-2404,Spacegroup object (15),Spacegroup object (227),0.07,0.00,7.22,0.00,-,-,No,CaF2 + 2 Al,Complete
392,415,Li3AgF4,Li3Ag,0.80,25.63,52.39,523.76,419.91,1392.27,4.0,283.81,450.21,58.09,57.94,14.52,1.16,mp-758861,mp-865875,Spacegroup object (1),Spacegroup object (225),0.07,0.00,2.20,0.00,-,-,No,Li8Ag5 + 7 LiF,Complete
393,416,NdTeF,NdTe,0.51,67.97,5.47,92.15,46.58,330.99,1.0,56.51,60.32,16.43,16.40,16.43,1.22,mp-12621,mp-570,Spacegroup object (129),Spacegroup object (225),0.07,0.00,0.42,0.00,0.45,-,No,Nd2Te3 + NdF3,Complete
394,418,LiAg3F8,LiAg3,3.48,20.35,134.30,444.35,1547.34,7615.02,8.0,351.24,511.81,169.48,169.18,21.19,1.33,mp-867824,mp-862716,Spacegroup object (15),Spacegroup object (139),0.07,0.00,0.00,0.00,-,-,No,Ag + 0.3333 LiF,Complete
395,419,Li3CuF5,Li3Cu,1.11,21.04,74.20,747.14,825.88,2337.74,5.0,12.88,25.13,2.31,2.12,0.46,-0.34,mp-759433,mp-975882,Spacegroup object (15),Spacegroup object (139),0.07,0.02,0.32,0.00,-,-,No,LiCu3 + 8 LiF,Complete
396,420,Na3TlF6,Na3Tl,1.70,27.93,36.63,415.16,707.72,2715.90,6.0,2217.28,3141.06,858.85,858.62,143.14,2.16,mp-1111000,mp-982873,Spacegroup object (225),Spacegroup object (225),0.07,0.01,3.45,0.00,-,-,No,Na2Tl + NaF,Complete
397,423,KB6F6,KB6,1.37,29.05,131.12,737.81,1012.83,2102.82,6.0,4.46,7.15,0.97,0.74,0.16,-0.79,mp-1205091,mp-1076,Spacegroup object (15),Spacegroup object (221),0.07,0.00,2.65,0.00,-,-,No,B + 0.1667 KF,Complete
398,424,MgBiF5,MgBi,1.49,23.09,104.98,408.21,608.76,2873.99,5.0,4.80,5.94,1.58,1.39,0.32,-0.50,mp-1323594,mp-1039305,Spacegroup object (14),Spacegroup object (166),0.07,0.07,4.58,0.00,-,-,No,Bi + MgF2,Complete
399,475,Na2UF8,Na2UF6,3.02,81.88,25.95,122.94,370.79,1639.35,2.0,56.16,61.33,24.49,24.41,12.24,1.09,mp-1103472,mp-555679,Spacegroup object (139),Spacegroup object (71),0.00,0.00,2.60,0.00,0.11,0.11,No,NaUF6 + NaF,Partial
400,478,LiCu3F10,LiCu3F7,4.87,65.46,48.77,207.46,1010.74,3312.09,3.0,5.43,6.02,2.11,1.99,0.70,-0.15,mp-760825,mp-752898,Spacegroup object (7),Spacegroup object (15),0.00,0.03,0.00,0.00,-,-,No,LiCu2F6 + CuF2,Partial
401,482,Li2CuF6,Li2CuF4,4.86,48.73,27.18,280.03,1361.03,4439.29,2.0,9.24,11.04,1.77,1.69,0.88,-0.05,mp-759169,mp-753171,Spacegroup object (136),Spacegroup object (7),0.00,0.01,0.00,0.00,-,-,No,LiCu2F6 + 3 LiF,Partial
402,511,Cs2CuF6,Cs2CuF4,4.30,94.09,37.59,120.91,520.21,2035.20,2.0,37053.85,40527.02,16427.72,16427.65,8213.86,3.91,mp-28692,mp-1025265,Spacegroup object (225),Spacegroup object (139),0.00,0.00,0.00,0.00,-,0.40,No,CsCuF4 + CsF,Partial
403,521,CaCrF6,CaCrF4,3.31,63.81,56.87,260.13,860.96,2308.51,2.0,3.93,4.36,0.81,0.73,0.40,-0.39,mp-557519,mp-1388114,Spacegroup object (148),Spacegroup object (140),0.00,0.00,1.40,0.00,-0.21,-,No,CaF2 + CrF3,Partial
404,526,Mn2O2F9,Mn5O5F,3.95,20.64,185.92,736.73,2907.64,8511.58,8.6,1.75,1.47,0.55,0.55,0.06,-1.20,mp-27807,mp-753550,Spacegroup object (15),Spacegroup object (156),0.00,0.05,0.61,0.00,-,1.53,No,Mn3O4 + MnF2,Partial
405,527,Mn2O2F9,Mn7O7F,3.92,20.37,193.09,746.52,2926.34,8566.32,8.7,1.75,1.47,0.55,0.76,0.06,-1.20,mp-27807,mp-753904,Spacegroup object (15),Spacegroup object (156),0.00,0.06,0.61,0.00,-,1.36,No,Mn3O4 + MnF2,Partial
406,541,LiAgF6,LiAgF3,5.29,34.06,55.34,351.42,1860.59,6918.30,3.0,249.16,331.15,57.01,56.89,19.00,1.28,mp-859118,mp-752699,Spacegroup object (206),Spacegroup object (65),0.00,0.05,0.46,0.00,-,-,No,LiAgF4,Partial
407,544,LiCu2F6,LiCu2F4,3.41,49.47,26.31,216.12,736.99,3067.56,2.0,6.34,7.12,1.57,1.49,0.79,-0.10,mp-758265,mp-752742,Spacegroup object (136),Spacegroup object (11),0.00,0.06,0.00,0.00,0.54,0.54,No,CuF2 + 0.5 LiF,Partial
408,561,CaCrF5,CaCrF4,2.15,103.98,27.81,143.27,307.34,918.17,1.0,4.12,4.36,0.77,0.73,0.77,-0.11,mp-556748,mp-1388114,Spacegroup object (15),Spacegroup object (140),0.00,0.00,2.72,0.00,-,-,No,CaF2 + CrF3,Partial
409,562,CdPdF6,CdPdF4,3.78,58.47,38.77,161.06,608.37,2875.38,2.0,15829.29,17869.10,5268.33,5268.25,2634.16,3.42,mp-13984,mp-1226775,Spacegroup object (148),Spacegroup object (14),0.00,0.03,1.78,0.00,0.94,0.94,No,PdF3 + CdF2,Partial
410,571,LiCuF4,LiCuF3,4.31,71.75,34.68,182.97,788.37,2672.65,1.0,7.60,8.44,1.11,1.08,1.11,0.05,mp-753257,mp-758052,Spacegroup object (14),Spacegroup object (161),0.00,0.01,0.83,0.00,1.89,1.89,No,LiCu2F6 + LiF,Partial
411,573,LiCuF4,Li2Cu2F5,3.83,47.83,35.98,274.45,1049.87,3559.13,1.5,7.60,8.95,1.11,2.11,0.74,-0.13,mp-753257,mp-762259,Spacegroup object (14),Spacegroup object (14),0.00,0.05,0.83,0.00,1.11,-,No,CuF2 + LiF,Partial
412,607,VOF3,VOF,3.35,38.30,119.89,432.50,1450.26,3896.20,2.0,151.38,217.42,18.76,18.69,9.38,0.97,mp-556026,mp-754589,Spacegroup object (14),Spacegroup object (92),0.00,0.00,3.66,0.00,1.84,1.84,No,V2O3F + VF3,Partial
413,612,Na3TiF8,Na3TiF6,3.42,84.96,24.72,199.40,682.84,1793.78,2.0,3.94,4.26,1.06,0.98,0.53,-0.28,mp-732175,mp-1210257,Spacegroup object (63),Spacegroup object (14),0.00,0.00,0.89,0.00,-,-,No,Na2TiF6 + NaF,Partial
414,626,LiCu2F7,LiCu2F6,5.53,114.78,16.00,100.37,555.37,2145.45,1.0,6.03,6.34,1.61,1.57,1.61,0.21,mp-760773,mp-758265,Spacegroup object (1),Spacegroup object (136),0.00,0.00,0.00,0.00,-,1.20,No,LiCu3F10 + LiCuF4,Partial
415,627,LiCu2F7,LiCu2F5,4.68,57.39,14.72,200.74,940.37,3632.70,2.0,6.03,6.69,1.61,1.53,0.80,-0.09,mp-760773,mp-752721,Spacegroup object (1),Spacegroup object (63),0.00,0.04,0.00,0.00,-,1.35,No,LiCu2F6,Partial
416,628,LiCu2F7,LiCu2F4,4.12,38.26,46.51,301.12,1239.93,4789.92,3.0,6.03,7.12,1.61,1.49,0.54,-0.27,mp-760773,mp-752742,Spacegroup object (1),Spacegroup object (11),0.00,0.06,0.00,0.00,-,2.94,No,CuF2 + 0.5 LiF,Partial
417,631,CaVF6,CaVF5,3.84,130.83,22.48,130.73,501.93,1306.07,1.0,92.51,101.75,18.97,18.93,18.97,1.28,mp-1391106,mp-1401720,Spacegroup object (148),Spacegroup object (15),0.00,0.00,0.00,0.00,-,-,No,VF4 + CaF2,Partial
418,633,VOF2,VOF,2.97,52.81,51.60,255.40,758.05,2501.08,1.0,178.42,217.42,18.72,18.69,18.72,1.27,mp-781604,mp-754589,Spacegroup object (1),Spacegroup object (92),0.00,0.00,1.51,0.00,-,0.65,No,V2O3F + VF3,Partial
419,638,RbU3F13,RbU3F10,0.78,85.15,12.42,76.83,59.65,405.78,3.0,1335.24,1412.03,1397.37,1397.26,465.79,2.67,mp-1194634,mp-1209699,Spacegroup object (26),Spacegroup object (186),0.00,0.04,0.00,0.00,-,-,No,UF3 + RbU2F9,Partial
420,640,Sb2XeF14,Sb2XeF13,4.70,289.50,-0.10,41.83,196.42,721.94,1.0,371.84,383.14,238.27,238.23,238.27,2.38,mp-27290,mp-1203999,Spacegroup object (2),Spacegroup object (2),0.00,0.03,1.98,0.00,-,-,No,Sb2XeF16 + SbXeF7 + SbF5,Partial
421,647,Rb3MnF7,Rb3MnF6,3.04,202.72,3.09,60.32,183.48,667.81,1.0,8945.19,9344.66,3974.62,3974.58,3974.62,3.60,mp-18408,mp-1113828,Spacegroup object (127),Spacegroup object (225),0.01,0.06,1.23,0.00,-,-,No,Rb2MnF6 + RbF,Partial
422,650,Li2CuF5,Li2CuF4,4.23,88.33,15.28,155.44,657.07,2129.87,1.0,10.04,11.04,1.73,1.69,1.73,0.24,mp-762326,mp-753171,Spacegroup object (2),Spacegroup object (7),0.01,0.01,0.00,0.00,-,-,No,LiCu2F6 + 3 LiF,Partial
423,655,SbIF10,Sb2I2F11,3.57,42.02,19.54,274.95,981.18,3779.41,4.5,12.60,15.17,5.53,10.71,1.23,0.09,mp-30214,mp-27236,Spacegroup object (73),Spacegroup object (5),0.01,0.02,4.07,0.00,-,-,No,SbF4 + IF5,Partial
424,665,Rb3NiF7,Rb3NiF6,4.40,195.86,5.11,59.81,263.17,999.77,1.0,8871.82,9264.54,3975.34,3975.30,3975.34,3.60,mp-17362,mp-1113628,Spacegroup object (127),Spacegroup object (225),0.01,0.03,0.86,0.00,-,-,No,Rb2NiF6 + RbF,Partial
425,667,LiCuF3,Li2Cu2F5,2.86,106.55,0.97,105.12,300.46,1193.92,0.5,8.44,8.95,1.08,2.11,2.15,0.33,mp-758052,mp-762259,Spacegroup object (161),Spacegroup object (14),0.01,0.05,0.00,0.00,0.59,-,No,CuF2 + LiF,Partial
426,674,LiMn2F9,LiMn2F6,4.42,58.34,64.82,279.37,1234.80,3371.81,3.0,3.90,4.37,1.12,1.01,0.37,-0.43,mp-753244,mp-757174,Spacegroup object (1),Spacegroup object (150),0.01,0.01,2.27,0.00,-,-,No,LiMnF4 + MnF3,Partial
427,682,LiV2F7,LiV2F6,2.17,123.15,14.47,110.84,240.27,783.45,1.0,157.71,170.98,38.14,38.10,38.14,1.58,mp-756227,mp-559701,Spacegroup object (15),Spacegroup object (136),0.02,0.00,1.84,0.00,-,1.15,No,LiVF4 + VF3,Partial
428,684,LiMn2F7,LiMn2F6,3.74,123.17,16.00,107.29,400.81,1349.82,1.0,4.19,4.37,1.05,1.01,1.05,0.02,mp-763425,mp-757174,Spacegroup object (15),Spacegroup object (150),0.02,0.01,1.05,0.00,-,-,No,LiMnF4 + MnF3,Partial
429,690,K3Fe6F19,KFe2F6,2.48,415.21,4.74,32.95,81.75,265.91,1.0,2.93,2.95,2.38,0.78,2.38,0.38,mp-1204955,mp-1223730,Spacegroup object (63),Spacegroup object (83),0.02,0.04,0.00,0.00,-,1.74,No,KFeF4 + 0.6667 FeF2 + 0.3333 FeF3,Partial
430,695,MnOF,Mn5O5F,2.72,43.63,12.46,238.41,649.00,2777.04,0.8,1.56,1.47,0.14,0.55,0.18,-0.75,mp-755209,mp-753550,Spacegroup object (65),Spacegroup object (156),0.02,0.05,0.01,0.00,0.40,0.40,No,Mn3O4 + MnF2,Partial
431,696,MnOF,Mn7O7F,2.67,40.72,15.28,255.43,681.52,2916.22,0.9,1.56,1.47,0.14,0.76,0.16,-0.78,mp-755209,mp-753904,Spacegroup object (65),Spacegroup object (156),0.02,0.06,0.01,0.00,0.26,0.26,No,Mn3O4 + MnF2,Partial
432,701,Sb2XeF15,Sb2XeF13,5.09,155.38,7.24,81.24,413.32,1457.15,2.0,361.19,383.14,238.31,238.23,119.16,2.08,mp-1195732,mp-1203999,Spacegroup object (15),Spacegroup object (2),0.02,0.03,0.02,0.00,-,-,No,Sb2XeF16 + 0.3333 SbXeF7 + 0.3333 SbF5,Partial
433,703,LiAg2F6,LiAg2F4,4.31,60.02,17.72,159.22,686.79,3198.38,2.0,336.26,378.78,113.21,113.13,56.60,1.75,mp-765566,mp-752666,Spacegroup object (150),Spacegroup object (70),0.02,0.03,0.00,0.00,-,-,No,AgF2 + 0.5 LiF,Partial
434,709,Li2Cu3F11,Li2Cu3F8,4.66,69.72,34.72,194.45,905.45,2972.30,3.0,6.59,7.32,2.72,2.61,0.91,-0.04,mp-1178131,mp-759717,Spacegroup object (11),Spacegroup object (212),0.03,0.04,0.00,0.00,-,0.68,No,LiCu2F6 + 0.3333 LiF,Partial
435,711,Li2Cu3F11,Li2Cu3F7,4.21,52.29,24.28,259.26,1091.36,3582.57,4.0,6.59,7.62,2.72,2.57,0.68,-0.17,mp-1178131,mp-761893,Spacegroup object (11),Spacegroup object (55),0.03,0.06,0.00,0.00,-,1.14,No,CuF2 + 0.6667 LiF,Partial
436,712,Li3Cu2F8,Li3Cu2F7,3.86,147.04,10.12,89.37,344.83,1167.90,1.0,9.36,9.86,2.81,2.77,2.81,0.45,mp-761910,mp-760002,Spacegroup object (14),Spacegroup object (14),0.03,0.05,0.01,0.00,-,-,No,LiCu2F6 + 2 LiF,Partial
437,715,Li2Cu2F7,LiCuF3,4.33,136.88,28.47,97.83,423.59,1407.77,1.0,7.99,8.44,2.19,1.08,2.19,0.34,mp-758696,mp-758052,Spacegroup object (2),Spacegroup object (161),0.03,0.01,0.03,0.00,-,0.56,No,LiCu2F6 + LiF,Partial
438,716,Li2Cu2F7,Li2Cu2F5,3.59,68.44,29.71,195.66,703.22,2337.09,2.0,7.99,8.95,2.19,2.11,1.09,0.04,mp-758696,mp-762259,Spacegroup object (2),Spacegroup object (14),0.03,0.05,0.03,0.00,-,-,No,CuF2 + LiF,Partial
439,719,Li3Cu4F15,Li3Cu4F9,4.06,47.81,55.55,287.17,1166.74,3781.71,6.0,6.85,8.09,3.84,3.61,0.64,-0.19,mp-760784,mp-754095,Spacegroup object (31),Spacegroup object (1),0.03,0.06,0.00,0.00,-,-,No,CuF2 + 0.75 LiF,Partial
440,724,LiCu2F5,LiCu2F4,2.98,100.05,27.71,117.02,349.26,1327.57,1.0,6.69,7.12,1.53,1.49,1.53,0.19,mp-752721,mp-752742,Spacegroup object (63),Spacegroup object (11),0.04,0.06,0.00,0.00,0.90,0.90,No,CuF2 + 0.5 LiF,Partial
441,725,Ba2Co2F11,BaCoF4,4.89,79.37,26.15,133.67,653.87,2742.78,3.0,7.24,7.79,4.36,2.12,1.45,0.16,mp-1041033,mp-556101,Spacegroup object (145),Spacegroup object (36),0.04,0.00,0.00,0.00,-,-,No,CoF3 + BaF2,Partial
442,732,Li2Cu3F8,Li2Cu3F7,2.87,155.27,-7.75,75.18,215.63,822.14,1.0,7.32,7.62,2.61,2.57,2.61,0.42,mp-759717,mp-761893,Spacegroup object (212),Spacegroup object (55),0.04,0.06,0.00,0.00,2.86,2.86,No,CuF2 + 0.6667 LiF,Partial
443,739,LiV2F9,LiV2F6,3.24,57.72,60.95,287.35,930.26,2496.26,3.0,136.57,170.98,38.21,38.10,12.74,1.11,mp-1176613,mp-559701,Spacegroup object (62),Spacegroup object (136),0.04,0.00,1.76,0.00,-,0.74,No,LiVF4 + VF3,Partial
444,757,TiOF2,TiOF,1.98,57.62,74.70,263.11,521.00,1529.37,1.0,6.13,7.08,0.62,0.59,0.62,-0.20,mp-1216625,mp-753657,Spacegroup object (123),Spacegroup object (123),0.05,0.00,2.06,0.00,1.72,1.72,No,Ti3O5 + 2 TiF3,Partial
445,759,Li3Mn4F19,Li3Mn4F15,4.65,85.17,7.38,178.22,828.01,2427.62,4.0,4.76,5.16,2.86,2.71,0.72,-0.15,mp-777320,mp-759518,Spacegroup object (2),Spacegroup object (31),0.05,0.06,1.06,0.00,-,-,No,MnF3 + 0.6 Li2MnF6,Partial
446,771,Li2Cu3F9,Li2Cu3F8,4.37,169.66,9.27,71.37,311.58,1145.16,1.0,7.05,7.32,2.65,2.61,2.65,0.42,mp-867599,mp-759717,Spacegroup object (2),Spacegroup object (212),0.05,0.04,0.41,0.00,-,3.74,No,LiCu2F6 + CuF2 + LiF,Partial
447,772,Li2Cu3F9,Li2Cu3F7,3.62,84.83,0.80,142.75,516.30,1897.57,2.0,7.05,7.62,2.65,2.57,1.32,0.12,mp-867599,mp-761893,Spacegroup object (2),Spacegroup object (55),0.05,0.06,0.41,0.00,-,0.19,No,CuF2 + 0.6667 LiF,Partial
