,orig_index,f_form,def_form,voltage,vol_p_f,per_exp,grav_cap,grav_e_den,vol_e_den,f_transfer,f_cost_p_kg,def_cost_p_kg,f_cost_p_mol,def_cost_p_mol,cost_p_mol_f,log10_cost_p_mol_f,f_id,def_id,f_spacegroup,def_spacegroup,f_e_hull,def_e_hull,f_bandgap,def_bandgap,f_barrier,def_barrier,direct,products,type
287,216,CaSnF6,CaSn,1.55,25.90,153.03,589.52,911.86,2657.99,6.0,9.31,14.56,2.54,2.31,0.42,-0.37,mp-8224,mp-2450,Spacegroup object (225),Spacegroup object (63),0.00,0.00,5.39,0.00,-0.02,-,No,CaSn3 + 2 CaF2,Complete
288,217,Ba2PdF6,Ba2Pd,1.11,28.65,46.32,324.82,360.57,1724.22,6.0,10641.22,13823.72,5268.09,5267.86,878.02,2.94,mp-29794,mp-1103028,Spacegroup object (64),Spacegroup object (62),0.00,0.00,1.53,0.00,0.67,-,No,BaPd + BaF2,Complete
289,218,DyPtF7,DyPt,2.48,18.74,193.67,382.43,947.82,5884.43,7.0,11157.34,15306.12,5473.49,5473.22,781.93,2.89,mp-17160,mp-1078613,Spacegroup object (14),Spacegroup object (62),0.00,0.00,2.32,0.00,-,-,No,Dy3Pt4 + DyF3,Complete
290,219,Li3AlF6,Li3Al,0.12,17.17,52.89,993.91,117.83,307.34,6.0,12.46,37.38,2.02,1.79,0.34,-0.47,mp-15254,mp-975868,Spacegroup object (15),Spacegroup object (139),0.00,0.04,7.69,0.00,-,-,No,Li2Al + LiF,Complete
291,222,Th2AuF11,Th2Au,1.41,19.09,148.30,338.86,478.79,3293.34,11.0,10295.92,13550.25,8957.71,8957.29,814.34,2.91,mp-29890,mp-1629,Spacegroup object (140),Spacegroup object (140),0.00,0.00,2.33,0.00,0.32,-,No,ThAu + ThF4,Complete
292,223,MgCuF5,MgCu,2.36,17.53,180.29,732.91,1731.58,5999.02,5.0,3.44,4.98,0.63,0.44,0.13,-0.90,mp-1404142,mp-972916,Spacegroup object (15),Spacegroup object (51),0.00,0.04,0.00,0.00,-,-,No,MgCu2 + MgF2,Complete
293,228,ZnFeF6,ZnFe,2.77,18.14,323.47,683.58,1892.07,6789.45,6.0,1.78,1.57,0.42,0.19,0.07,-1.16,mp-1396958,mp-1215473,Spacegroup object (148),Spacegroup object (123),0.00,0.02,0.85,0.00,-,-,No,FeF2 + 0.2 Zn9Fe4,Complete
294,229,CeTlF5,CeTl,1.04,23.61,105.39,304.91,317.00,1959.92,5.0,1955.11,2493.65,859.25,859.06,171.85,2.24,mp-1213886,mp-1206755,Spacegroup object (14),Spacegroup object (123),0.00,0.00,1.51,0.00,-,-,No,CeTl3 + 2 CeF3,Complete
295,232,CoPtF6,CoPt,3.30,17.86,294.99,436.97,1443.59,8230.79,6.0,14742.89,21357.88,5425.50,5425.27,904.25,2.96,mp-556492,mp-949,Spacegroup object (148),Spacegroup object (123),0.00,0.00,1.72,0.00,-,-,No,CoPt3 + 2 CoF2,Complete
296,233,SbAsF8,SbAs,2.68,20.91,210.85,614.94,1645.16,5693.12,8.0,3.15,4.02,1.10,0.79,0.14,-0.86,mp-27317,mp-1219457,Spacegroup object (11),Spacegroup object (160),0.00,0.00,3.87,0.00,-,-,No,As + SbF3,Complete
297,234,BaSiF6,BaSi,0.88,18.37,72.90,575.54,504.82,2124.46,6.0,1.12,0.50,0.31,0.08,0.05,-1.28,mp-5588,mp-2499,Spacegroup object (166),Spacegroup object (63),0.00,0.00,7.42,0.00,1.30,-,No,Ba3Si4 + BaF2,Complete
298,235,CuSnF6,CuSn,2.64,18.94,195.33,542.82,1435.56,6214.65,6.0,9.55,14.27,2.83,2.60,0.47,-0.33,mp-4701,mp-10598,Spacegroup object (2),Spacegroup object (194),0.00,0.00,0.30,0.00,0.82,-,No,SnF2 + Cu,Complete
299,237,BaPbF6,BaPb,2.02,22.26,56.13,350.71,709.41,4043.83,6.0,1.48,1.31,0.68,0.45,0.11,-0.95,mp-19799,mp-20136,Spacegroup object (166),Spacegroup object (63),0.00,0.00,2.89,0.00,1.80,-,No,Ba3Pb5 + 2 BaF2,Complete
300,240,PdPb2F6,PdPb2,2.54,25.54,108.77,253.32,642.49,4419.67,6.0,8299.88,10116.01,5268.85,5268.62,878.14,2.94,mp-1209528,mp-20599,Spacegroup object (64),Spacegroup object (140),0.00,0.00,1.13,0.00,1.60,-,No,PdPb + PbF2,Complete
301,242,LaSnF7,LaSn,1.48,21.95,137.85,480.31,711.66,3004.41,7.0,8.09,11.23,3.16,2.89,0.45,-0.35,mp-18566,mp-1018047,Spacegroup object (14),Spacegroup object (63),0.00,0.00,5.09,0.00,-,-,No,La2Sn3 + LaF3,Complete
302,243,CuAuF5,CuAu,3.72,20.36,238.91,376.95,1402.33,8131.26,5.0,24822.96,33873.54,8824.67,8824.48,1764.93,3.25,mp-28376,mp-522,Spacegroup object (2),Spacegroup object (123),0.00,0.00,0.00,0.00,2.33,-,No,CuF2 + Au,Complete
303,244,CaAs3F15,CaAs3,2.53,20.51,224.14,731.19,1847.33,5482.42,15.0,1.68,1.32,0.92,0.35,0.06,-1.21,mp-1227150,mp-1900,Spacegroup object (19),Spacegroup object (2),0.00,0.00,5.02,0.00,-,-,No,CaF2 + 3 As,Complete
304,245,BaSnF6,BaSn,1.57,21.00,55.36,434.59,683.46,3333.18,6.0,6.71,8.81,2.48,2.26,0.41,-0.38,mp-8290,mp-872,Spacegroup object (148),Spacegroup object (63),0.00,0.00,4.99,0.00,1.43,-,No,Ba3Sn5 + 2 BaF2,Complete
305,246,V2O3F,V2O3,2.52,68.15,24.25,158.70,400.02,1645.97,1.0,221.07,248.84,37.33,37.30,37.33,1.57,mp-755587,mp-21579,Spacegroup object (63),Spacegroup object (206),0.00,0.00,1.18,0.00,0.67,-,No,V3O5 + VOF,Complete
306,248,TiZnF6,TiZn,1.50,18.71,260.26,707.58,1062.11,3570.61,6.0,4.14,6.29,0.94,0.71,0.16,-0.80,mp-1403065,mp-1014230,Spacegroup object (148),Spacegroup object (221),0.00,0.00,4.17,0.00,-,-,No,TiZn3 + 2 TiF3,Complete
307,249,YbAu2F9,YbAu2,3.36,21.81,207.18,326.87,1099.12,6862.61,9.0,23919.37,31132.27,17651.51,17651.16,1961.28,3.29,mp-561845,mp-1668,Spacegroup object (60),Spacegroup object (139),0.00,0.00,0.00,0.00,-,-,No,YbAu3 + 0.5 YbF2,Complete
308,251,CsHgF3,CsHg,2.26,34.06,-1.97,205.91,465.48,2953.60,3.0,21049.75,24646.86,8219.73,8219.61,2739.91,3.44,mp-561947,mp-1080797,Spacegroup object (221),Spacegroup object (2),0.00,0.00,0.72,0.00,-,-,No,CsHg2 + CsF,Complete
309,252,LiRhF6,LiRh,3.09,17.63,290.06,718.42,2222.68,7811.45,6.0,67584.55,137716.61,15127.92,15127.69,2521.32,3.40,mp-11171,mp-600561,Spacegroup object (148),Spacegroup object (187),0.00,0.00,0.00,0.00,-,-,No,LiRh3 + 2 LiF,Complete
310,253,HfMnF6,HfMn,0.91,23.75,335.08,462.87,422.77,1711.66,6.0,463.33,688.61,160.97,160.74,26.83,1.43,mp-1205992,mp-1191460,Spacegroup object (225),Spacegroup object (227),0.00,0.01,4.95,0.00,1.45,-,No,HfMn2 + HfF4,Complete
311,257,Sr2RhF7,Sr2Rh,1.24,20.90,46.63,456.32,563.72,2630.57,7.0,36797.06,54389.75,15128.53,15128.27,2161.22,3.33,mp-541114,mp-1063245,Spacegroup object (14),Spacegroup object (225),0.00,0.00,1.98,0.00,-,-,No,SrRh2 + 3 SrF2,Complete
312,260,BaInF5,BaIn,1.23,24.16,60.57,386.04,474.29,2263.07,5.0,55.89,76.19,19.40,19.21,3.88,0.59,mp-1214395,mp-31509,Spacegroup object (14),Spacegroup object (63),0.00,0.00,4.80,0.00,-,-,No,BaIn2 + BaF2,Complete
313,262,YbSnF7,YbSn,2.05,20.48,163.10,441.71,903.83,4445.98,7.0,12.82,17.75,5.45,5.18,0.78,-0.11,mp-1207670,mp-2806,Spacegroup object (14),Spacegroup object (123),0.00,0.00,1.04,0.00,-,-,No,Yb3Sn5 + 2 YbF2,Complete
314,267,TcO2F3,TcO2,3.43,32.53,197.45,429.98,1473.73,4689.65,3.0,52408.73,75385.35,9800.12,9800.00,3266.71,3.51,mp-28804,mp-33137,Spacegroup object (2),Spacegroup object (14),0.00,0.00,2.42,0.00,-,-,No,Tc2O7 + 3 TcOF4,Complete
315,268,SrGaF5,SrGa,1.13,20.03,60.50,531.07,600.38,2512.45,5.0,43.94,69.26,11.09,10.90,2.22,0.35,mp-1208823,mp-1199262,Spacegroup object (79),Spacegroup object (198),0.00,0.03,5.65,0.00,-,-,No,SrF2 + SrGa2,Complete
316,274,ZnPdF6,ZnPd,3.42,17.38,259.14,562.62,1923.70,8757.40,6.0,18431.87,30658.14,5268.19,5267.96,878.03,2.94,mp-13983,mp-1652,Spacegroup object (148),Spacegroup object (123),0.00,0.00,1.36,0.00,1.41,-,No,ZnPd2 + ZnF2,Complete
317,275,ErPtF7,ErPt,2.49,18.39,195.68,378.76,942.59,6021.55,7.0,10958.35,14979.59,5428.02,5427.75,775.43,2.89,mp-18341,mp-1025444,Spacegroup object (14),Spacegroup object (62),0.00,0.00,2.28,0.00,-,-,No,Er3Pt4 + ErF3,Complete
318,276,Ca(AuF6)2,CaAu2,3.80,21.19,266.08,485.83,1845.99,7979.05,12.0,26660.07,40663.23,17648.75,17648.30,1470.73,3.17,mp-28153,mp-443,Spacegroup object (115),Spacegroup object (74),0.00,0.00,1.53,0.00,-,-,No,CaAu5 + 1.5 CaF2,Complete
319,279,Zr3BiF15,Zr3Bi,1.18,18.04,176.76,523.72,619.87,2919.35,15.0,15.42,23.34,11.84,11.26,0.79,-0.10,mp-532290,mp-1207416,Spacegroup object (2),Spacegroup object (82),0.00,0.00,5.20,0.00,-,-,No,ZrBi + 2 ZrF4,Complete
320,282,KGaF4,KGa,1.32,23.06,25.20,580.07,763.08,2538.54,4.0,59.39,99.46,10.98,10.82,2.74,0.44,mp-15408,mp-1078864,Spacegroup object (62),Spacegroup object (62),0.00,0.07,5.19,0.00,2.64,-,No,K2Ga3 + KF,Complete
321,285,KHgF3,KHg,2.36,32.47,21.56,271.01,639.46,3234.15,3.0,22.50,27.38,6.68,6.56,2.23,0.35,mp-7483,mp-11462,Spacegroup object (221),Spacegroup object (2),0.00,0.00,0.61,0.00,0.96,-,No,KHg2 + KF,Complete
322,286,SmPtF7,SmPt,2.46,19.66,192.39,392.14,964.94,5569.42,7.0,11340.55,15705.66,5425.69,5425.43,775.10,2.89,mp-17569,mp-1025431,Spacegroup object (14),Spacegroup object (62),0.00,0.00,2.38,0.00,-,-,No,SmPt2 + SmF3,Complete
323,288,Rb2In3F11,Rb2In3,1.68,25.16,39.32,407.00,684.68,2976.31,11.0,3737.65,5252.39,2707.45,2707.03,246.13,2.39,mp-554576,mp-571505,Spacegroup object (11),Spacegroup object (139),0.00,0.01,3.87,0.00,-,-,No,RbIn4 + 1.667 RbF,Complete
324,289,W(OF)2,WO2,2.71,49.60,165.76,211.17,572.96,2434.44,2.0,25.89,30.09,6.57,6.49,3.29,0.52,mp-759764,mp-19372,Spacegroup object (26),Spacegroup object (136),0.00,0.00,1.69,0.00,2.58,-,No,W8O21 + 5 WOF3,Complete
325,294,HoSeF,HoSe,0.22,64.73,37.27,101.95,22.64,152.66,1.0,42.40,45.54,11.15,11.11,11.15,1.05,mp-1095263,mp-464,Spacegroup object (62),Spacegroup object (225),0.00,0.00,2.83,0.00,1.67,-,No,Ho2Se3 + HoF3,Complete
326,296,ErSF,ErS,0.37,47.90,17.44,122.76,45.94,347.67,1.0,20.41,22.17,4.46,4.42,4.46,0.65,mp-10932,mp-1623,Spacegroup object (129),Spacegroup object (225),0.00,0.00,1.32,0.00,0.52,-,No,Er5S7 + 2 ErF3,Complete
327,298,Ca10Ge6F,Ca5Ge3,-0.15,440.62,-0.92,31.32,-4.69,-15.13,1.0,499.29,510.58,427.20,213.58,427.20,2.63,mp-1227456,mp-1884,Spacegroup object (121),Spacegroup object (140),0.00,0.00,0.00,0.00,-,-,No,Ca5Ge3 + 0.2857 CaF2 + 0.4286 CaGe,Complete
328,300,TiOF,TiO,1.30,32.98,57.41,323.44,419.08,1748.31,1.0,7.08,8.58,0.59,0.55,0.59,-0.23,mp-753657,mp-1071163,Spacegroup object (123),Spacegroup object (189),0.00,0.00,0.00,0.00,2.03,-,No,Ti2O3 + TiF3,Complete
329,301,BaMgF4,BaMg,-0.09,22.97,9.33,451.15,-41.47,-178.11,4.0,1.03,0.57,0.24,0.09,0.06,-1.21,mp-14568,mp-1183308,Spacegroup object (36),Spacegroup object (51),0.00,0.00,7.26,0.00,1.14,-,No,BaMg2 + BaF2,Complete
330,302,CaZnF4,CaZn,0.88,20.09,50.02,590.73,518.93,1946.42,4.0,2.26,2.45,0.41,0.26,0.10,-0.99,mp-5104,mp-30483,Spacegroup object (88),Spacegroup object (63),0.00,0.00,5.12,0.00,1.16,-,No,CaF2 + CaZn2,Complete
331,303,BaCuF4,BaCu,1.41,22.78,23.22,387.21,544.98,2749.76,4.0,2.06,2.08,0.57,0.42,0.14,-0.85,mp-12268,mp-30428,Spacegroup object (36),Spacegroup object (194),0.00,0.00,0.00,0.00,2.95,-,No,Cu + BaF2,Complete
332,304,TiAgF6,TiAg,2.11,20.34,246.44,596.19,1255.36,4606.77,6.0,211.23,364.37,56.97,56.75,9.50,0.98,mp-10810,mp-1017985,Spacegroup object (2),Spacegroup object (129),0.01,0.00,0.27,0.00,-,-,No,TiF3 + Ag,Complete
333,305,VO2F,VO2,3.47,59.97,93.63,262.92,911.69,2573.39,1.0,183.32,224.85,18.69,18.65,18.69,1.27,mp-753014,mp-19094,Spacegroup object (62),Spacegroup object (136),0.01,0.00,3.05,0.00,3.28,-,No,V2OF5 + 3 V2O5,Complete
334,308,ZrPdF6,ZrPd,2.06,22.77,252.69,516.02,1063.61,4028.76,6.0,16915.11,26669.68,5271.33,5271.10,878.56,2.94,mp-9056,mp-13495,Spacegroup object (148),Spacegroup object (63),0.01,0.00,0.99,0.00,-,-,No,ZrPd3 + 2 ZrF4,Complete
